QuarterEnd,DuringQuarter,NextQuarter,NextYear
4/1/1962,0.0757,0.0673,0.0516
7/1/1962,0.0673,0.06,0.0443
10/1/1962,0.06,0.0431,0.0414
1/1/1963,0.0431,0.036,0.0435
4/1/1963,0.036,0.0382,0.05
7/1/1963,0.0382,0.0482,0.0559
10/1/1963,0.0482,0.0516,0.0577
1/1/1964,0.0516,0.0622,0.0577
4/1/1964,0.0622,0.0618,0.0558
7/1/1964,0.0618,0.0552,0.0545
10/1/1964,0.0552,0.0516,0.0566
1/1/1965,0.0516,0.0548,0.0649
4/1/1965,0.0548,0.0566,0.0724
7/1/1965,0.0566,0.0635,0.0769
10/1/1965,0.0635,0.0846,0.0762
1/1/1966,0.0846,0.0848,0.0663
4/1/1966,0.0848,0.0749,0.0524
7/1/1966,0.0749,0.0604,0.0403
10/1/1966,0.0604,0.0451,0.032
1/1/1967,0.0451,0.0293,0.0274
4/1/1967,0.0293,0.0264,0.0297
7/1/1967,0.0264,0.0274,0.0369
10/1/1967,0.0274,0.0267,0.0434
1/1/1968,0.0267,0.0385,0.0491
4/1/1968,0.0385,0.0552,0.0507
7/1/1968,0.0552,0.0534,0.0446
10/1/1968,0.0534,0.0496,0.0386
1/1/1969,0.0496,0.0447,0.0313
4/1/1969,0.0447,0.0307,0.021
7/1/1969,0.0307,0.0295,0.0137
10/1/1969,0.0295,0.0205,0.0074
1/1/1970,0.0205,0.0032,0.0019
4/1/1970,0.0032,0.0016,0.0078
7/1/1970,0.0016,0.0042,0.0151
10/1/1970,0.0042,-0.0017,0.0216
1/1/1971,-0.0017,0.027,0.0329
4/1/1971,0.027,0.0311,0.0349
7/1/1971,0.0311,0.0301,0.0403
10/1/1971,0.0301,0.0437,0.0462
1/1/1972,0.0437,0.0348,0.0525
4/1/1972,0.0348,0.0526,0.0627
7/1/1972,0.0526,0.0538,0.0654
10/1/1972,0.0538,0.0689,0.0639
1/1/1973,0.0689,0.0756,0.0567
4/1/1973,0.0756,0.0632,0.0394
7/1/1973,0.0632,0.0477,0.0231
10/1/1973,0.0477,0.0402,0.0096
1/1/1974,0.0402,0.0064,-0.0054
4/1/1974,0.0064,-0.0021,-0.0127
7/1/1974,-0.0021,-0.0063,-0.0168
10/1/1974,-0.0063,-0.0195,-0.0132
1/1/1975,-0.0195,-0.023,-0.002
4/1/1975,-0.023,-0.0183,0.0192
7/1/1975,-0.0183,0.008,0.0392
10/1/1975,0.008,0.0255,0.0496
1/1/1976,0.0255,0.0615,0.054
4/1/1976,0.0615,0.0617,0.0467
7/1/1976,0.0617,0.0496,0.0424
10/1/1976,0.0496,0.0431,0.0444
1/1/1977,0.0431,0.0323,0.0462
4/1/1977,0.0323,0.0447,0.0484
7/1/1977,0.0447,0.0577,0.0524
10/1/1977,0.0577,0.0501,0.0511
1/1/1978,0.0501,0.0412,0.0552
4/1/1978,0.0412,0.0608,0.0612
7/1/1978,0.0608,0.0525,0.0527
10/1/1978,0.0525,0.0666,0.0455
1/1/1979,0.0666,0.0651,0.0321
4/1/1979,0.0651,0.0266,0.0194
7/1/1979,0.0266,0.0239,0.0108
10/1/1979,0.0239,0.0128,0.0008
1/1/1980,0.0128,0.0142,-0.0025
4/1/1980,0.0142,-0.0078,-0.0021
7/1/1980,-0.0078,-0.0162,0.0073
10/1/1980,-0.0162,-0.0004,0.0221
1/1/1981,-0.0004,0.016,0.0255
4/1/1981,0.016,0.0297,0.016
7/1/1981,0.0297,0.0433,0.0061
10/1/1981,0.0433,0.013,-0.0111
1/1/1982,0.013,-0.0219,-0.018
4/1/1982,-0.0219,-0.0101,-0.0089
7/1/1982,-0.0101,-0.0256,0.0018
10/1/1982,-0.0256,-0.0144,0.0225
1/1/1983,-0.0144,0.0143,0.0458
4/1/1983,0.0143,0.0327,0.0637
7/1/1983,0.0327,0.0574,0.0755
10/1/1983,0.0574,0.079,0.0784
1/1/1984,0.079,0.0858,0.0726
4/1/1984,0.0858,0.08,0.0626
7/1/1984,0.08,0.069,0.0518
10/1/1984,0.069,0.0558,0.0452
1/1/1985,0.0558,0.0456,0.0417
4/1/1985,0.0456,0.0368,0.0407
7/1/1985,0.0368,0.0426,0.0407
10/1/1985,0.0426,0.0418,0.0379
1/1/1986,0.0418,0.0415,0.0347
4/1/1986,0.0415,0.037,0.0311
7/1/1986,0.037,0.0312,0.0303
10/1/1986,0.0312,0.0291,0.0306
1/1/1987,0.0291,0.0272,0.0346
4/1/1987,0.0272,0.0336,0.0384
7/1/1987,0.0336,0.0327,0.0412
10/1/1987,0.0327,0.0448,0.0435
1/1/1988,0.0448,0.0424,0.0418
4/1/1988,0.0424,0.0448,0.042
7/1/1988,0.0448,0.0419,0.0401
10/1/1988,0.0419,0.038,0.0394
1/1/1989,0.038,0.0432,0.0368
4/1/1989,0.0432,0.0375,0.0331
7/1/1989,0.0375,0.0391,0.0297
10/1/1989,0.0391,0.0274,0.0243
1/1/1990,0.0274,0.0282,0.0189
4/1/1990,0.0282,0.0241,0.0095
7/1/1990,0.0241,0.0173,0.0021
10/1/1990,0.0173,0.006,-0.0025
1/1/1991,0.006,-0.0095,-0.0011
4/1/1991,-0.0095,-0.0054,0.0085
7/1/1991,-0.0054,-0.001,0.0177
10/1/1991,-0.001,0.0117,0.0271
1/1/1992,0.0117,0.0286,0.0352
4/1/1992,0.0286,0.0317,0.0363
7/1/1992,0.0317,0.0367,0.0354
10/1/1992,0.0367,0.0438,0.032
1/1/1993,0.0438,0.0332,0.0276
4/1/1993,0.0332,0.0281,0.0278
7/1/1993,0.0281,0.0229,0.0314
10/1/1993,0.0229,0.0261,0.0365
1/1/1994,0.0261,0.0343,0.0403
4/1/1994,0.0343,0.0423,0.0404
7/1/1994,0.0423,0.0434,0.0358
10/1/1994,0.0434,0.0412,0.0317
1/1/1995,0.0412,0.0348,0.0269
4/1/1995,0.0348,0.024,0.0247
7/1/1995,0.024,0.0267,0.0287
10/1/1995,0.0267,0.022,0.0321
1/1/1996,0.022,0.026,0.0377
4/1/1996,0.026,0.04,0.042
7/1/1996,0.04,0.0405,0.0427
10/1/1996,0.0405,0.0442,0.0443
1/1/1997,0.0442,0.0431,0.0445
4/1/1997,0.0431,0.0431,0.0458
7/1/1997,0.0431,0.0467,0.0453
10/1/1997,0.0467,0.0449,0.0438
1/1/1998,0.0449,0.0486,0.0448
4/1/1998,0.0486,0.041,0.0447
7/1/1998,0.041,0.041,0.0462
10/1/1998,0.041,0.0488,0.0477
1/1/1999,0.0488,0.0482,0.0475
4/1/1999,0.0482,0.0466,0.046
7/1/1999,0.0466,0.0472,0.0476
10/1/1999,0.0472,0.0481,0.0459
1/1/2000,0.0481,0.042,0.0414
4/1/2000,0.042,0.053,0.0366
7/1/2000,0.053,0.0408,0.026
10/1/2000,0.0408,0.0297,0.0171
1/1/2001,0.0297,0.0231,0.0101
4/1/2001,0.0231,0.0106,0.0076
7/1/2001,0.0106,0.005,0.0083
10/1/2001,0.005,0.0015,0.0126
1/1/2002,0.0015,0.0132,0.0174
4/1/2002,0.0132,0.0134,0.0185
7/1/2002,0.0134,0.0221,0.0203
10/1/2002,0.0221,0.0209,0.023
1/1/2003,0.0209,0.0177,0.0286
4/1/2003,0.0177,0.0203,0.0349
7/1/2003,0.0203,0.033,0.0403
10/1/2003,0.033,0.0433,0.0407
1/1/2004,0.0433,0.043,0.0381
4/1/2004,0.043,0.042,0.037
7/1/2004,0.042,0.0343,0.0354
10/1/2004,0.0343,0.0328,0.0355
1/1/2005,0.0328,0.0387,0.0352
4/1/2005,0.0387,0.0356,0.0339
7/1/2005,0.0356,0.0351,0.0328
10/1/2005,0.0351,0.0313,0.0299
1/1/2006,0.0313,0.0335,0.0286
4/1/2006,0.0335,0.0312,0.0239
7/1/2006,0.0312,0.0237,0.0207
10/1/2006,0.0237,0.0259,0.0203
1/1/2007,0.0259,0.0148,0.0188
4/1/2007,0.0148,0.0183,0.0179
7/1/2007,0.0183,0.0222,0.0161
10/1/2007,0.0222,0.0197,0.0105
1/1/2008,0.0197,0.0115,-0.0013
4/1/2008,0.0115,0.0109,-0.0124
7/1/2008,0.0109,0,-0.0249
10/1/2008,0,-0.0275,-0.0325
1/1/2009,-0.0275,-0.0329,-0.0252
4/1/2009,-0.0329,-0.0392,-0.0127
7/1/2009,-0.0392,-0.0305,0.0041
10/1/2009,-0.0305,0.0018,0.0197
1/1/2010,0.0018,0.0171,0.0256
4/1/2010,0.0171,0.028,0.0262
7/1/2010,0.028,0.0318,0.0235
10/1/2010,0.0318,0.0257,0.0179
1/1/2011,0.0257,0.0193,0.0155
4/1/2011,0.0193,0.0172,0.0173
7/1/2011,0.0172,0.0095,0.0189
10/1/2011,0.0095,0.0161,0.0229
1/1/2012,0.0161,0.0265,0.0225
4/1/2012,0.0265,0.0236,0.0198
7/1/2012,0.0236,0.0253,0.0171
10/1/2012,0.0253,0.0147,0.0155
1/1/2013,0.0147,0.0157,0.0184
4/1/2013,0.0157,0.0126,0.0181
7/1/2013,0.0126,0.0192,0.0215
10/1/2013,0.0192,0.0261,0.0243
1/1/2014,0.0261,0.0146,0.0245
4/1/2014,0.0146,0.026,0.0304
7/1/2014,0.026,0.0304,0.0323
10/1/2014,0.0304,0.027,0.0306
1/1/2015,0.027,0.0381,0.0289
4/1/2015,0.0381,0.0337,0.0233
7/1/2015,0.0337,0.0238,0.0181
10/1/2015,0.0238,0.02,0.016
1/1/2016,0.02,0.0156,0.0157
4/1/2016,0.0156,0.013,0.0166
7/1/2016,0.013,0.0154,0.0187
10/1/2016,0.0154,0.0188,0.0207
1/1/2017,0.0188,0.0194,0.0222
4/1/2017,0.0194,0.0211,0.0238
7/1/2017,0.0211,0.0234,0.0257
10/1/2017,0.0234,0.0247,0.0274
1/1/2018,0.0247,0.0258,0.0283
